"Table","Url"
"1","https://morethanakiosk.com/menu.html?qr=16b75bcb1676c1304f9eded6a5fea16f258126b3dfe5de2d2e31e43a09a0e5e7"
"2","https://morethanakiosk.com/menu.html?qr=76cfd2922fa16dd24d5fa4b1973b90623cd6053d0c3ed65a01cf5709b94f7ce7"
"3","https://morethanakiosk.com/menu.html?qr=0dcccf6e24f7ca222d853ceaabef375df4c488bf39478d605689eeabb448cc08"
"4","https://morethanakiosk.com/menu.html?qr=0b89393e41df65ddecfbbe4865883377ac36ebecc4c33e7831ca68ac03c4bf7d"
"5","https://morethanakiosk.com/menu.html?qr=3856b3b4c38ee065efc8cc195c56487546a700af70990bf75ee4e4c032663297"
"6","https://morethanakiosk.com/menu.html?qr=e739e7c75ef089bbdc05b779c330122aed301b9ed04434bdf52b991395af8a0e"
"7","https://morethanakiosk.com/menu.html?qr=eba9f222858cd0d28456b92c468b51bd1c46e7854d64e117698900c7656b4e0d"
"8","https://morethanakiosk.com/menu.html?qr=7f5ad9492b9eb4ce6db74e00ffd8e93e043a6e3f60521858b2cc0a354193ee63"
"9","https://morethanakiosk.com/menu.html?qr=dcde5db346609cd3301a95c11a400803771abcdd6cd2c80afd457fe91e7421a4"
"10","https://morethanakiosk.com/menu.html?qr=f833226bc7fd53aa4de8ab7812a119ce00e792d5d336dd8647e7af04437ccb84"
"11","https://morethanakiosk.com/menu.html?qr=14739ac3cffe36f48a7e13feae37549791a282b3f4cb7b1e1be3cf71d8bb7bcf"
"12","https://morethanakiosk.com/menu.html?qr=369281fd8ce17ac769ef928c5745f0c56cb3177b1063ca4f2fa52a1f710cd2c6"
